geometry,f_designed,cell_size,l_int,N_eff_exact,N_eff_asymp,Var_t,k1,k2,k3,k4
schwarzp,0.5088,1.6,4.10983,2.1611,1.2166,1.156483e+01,5.087900e+00,1.156483e+01,-2.478315e+00,-1.472258e+02
schwarzp,0.5000,2.5,4.06086,2.1628,1.2313,1.155891e+01,5.000000e+00,1.155891e+01,0.000000e+00,-1.472660e+02
schwarzp,0.5026,3.3,3.96459,2.1774,1.2612,1.148152e+01,5.017186e+00,1.148152e+01,-6.170745e-01,-1.443448e+02
schwarzp,0.5000,4.0,4.36603,2.1628,1.1452,1.155891e+01,5.000000e+00,1.155891e+01,0.000000e+00,-1.472660e+02
diamond,0.1994,0.5,0.72795,12.4655,6.8686,1.280828e+00,1.994375e+00,1.280828e+00,-1.259626e+00,-1.210145e+00
diamond,0.1994,1.0,0.73337,12.4655,6.8178,1.280828e+00,1.994375e+00,1.280828e+00,-1.259626e+00,-1.210145e+00
diamond,0.1994,1.6,0.66524,12.3248,7.5161,1.295452e+00,1.994375e+00,1.295452e+00,-1.226025e+00,-1.253492e+00
diamond,0.1994,2.5,0.65502,12.4655,7.6334,1.280828e+00,1.994375e+00,1.280828e+00,-1.259626e+00,-1.210145e+00
diamond,0.1998,3.3,0.50980,12.4474,9.8077,1.284324e+00,1.994257e+00,1.284324e+00,-1.252226e+00,-1.224705e+00
diamond,0.1994,4.0,1.07555,11.2168,4.6488,1.423425e+00,1.994375e+00,1.423425e+00,-9.523670e-01,-1.729667e+00
diamond,0.3000,0.5,0.47825,19.0719,10.4547,1.101094e+00,3.000000e+00,1.101094e+00,-2.235703e+00,3.325861e+00
diamond,0.3000,1.0,0.48482,19.0719,10.3132,1.101094e+00,3.000000e+00,1.101094e+00,-2.235703e+00,3.325861e+00
diamond,0.3000,1.6,0.38110,18.7426,13.1200,1.120441e+00,3.000000e+00,1.120441e+00,-2.212205e+00,3.239446e+00
diamond,0.3000,2.5,0.35967,19.0719,13.9015,1.101094e+00,3.000000e+00,1.101094e+00,-2.235703e+00,3.325861e+00
diamond,0.3003,3.3,0.17732,19.0429,28.1975,1.103394e+00,2.997715e+00,1.103394e+00,-2.227833e+00,3.299402e+00
diamond,0.3000,4.0,0.90175,15.9909,5.5448,1.313244e+00,3.000000e+00,1.313244e+00,-1.991887e+00,2.273584e+00
diamond,0.3994,0.5,0.20639,45.0321,24.2264,5.327027e-01,3.994375e+00,5.327027e-01,-1.501001e+00,4.739535e+00
diamond,0.3994,1.0,0.21344,45.0321,23.4255,5.327027e-01,3.994375e+00,5.327027e-01,-1.501001e+00,4.739535e+00
diamond,0.3994,1.6,0.07325,43.1667,68.2555,5.557229e-01,3.994375e+00,5.557229e-01,-1.492328e+00,4.687880e+00
diamond,0.3994,2.5,0.03395,45.0321,147.2814,5.327027e-01,3.994375e+00,5.327027e-01,-1.501001e+00,4.739535e+00
diamond,0.3996,3.3,-0.15355,44.9296,inf,5.339983e-01,3.989184e+00,5.339983e-01,-1.495766e+00,4.712535e+00
diamond,0.3994,4.0,0.68661,29.7118,7.2822,8.073809e-01,3.994375e+00,8.073809e-01,-1.403060e+00,3.996527e+00
diamond,0.5000,0.5,0.00658,inf,760.2330,0.000000e+00,5.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
diamond,0.5000,1.0,0.01377,inf,363.1247,0.000000e+00,5.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
diamond,0.5000,1.6,-0.14631,1007.3334,inf,2.481800e-02,5.000000e+00,2.481800e-02,7.632783e-19,-9.328370e-04
diamond,0.5000,2.5,-0.19839,inf,inf,0.000000e+00,5.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
diamond,0.5000,3.3,-0.38354,14897.2150,inf,1.678166e-03,4.991250e+00,1.678166e-03,-2.239674e-18,-5.593219e-06
diamond,0.5000,4.0,0.51731,80.5867,9.6653,3.102250e-01,5.000000e+00,3.102250e-01,2.147588e-16,-1.268997e-01
rectilinear,0.2007,0.5,4.22844,2.1332,1.1825,7.520808e+00,2.007188e+00,7.520808e+00,3.901986e+01,1.774220e+02
rectilinear,0.2007,1.0,4.24373,2.1332,1.1782,7.520808e+00,2.007188e+00,7.520808e+00,3.901986e+01,1.774220e+02
rectilinear,0.2054,1.6,4.15993,2.1494,1.2019,7.593917e+00,2.054225e+00,7.593917e+00,3.808339e+01,1.670279e+02
rectilinear,0.2007,2.5,4.17052,2.1332,1.1989,7.520808e+00,2.007188e+00,7.520808e+00,3.901986e+01,1.774220e+02
rectilinear,0.2036,3.3,3.96914,2.1553,1.2597,7.522219e+00,2.032027e+00,7.522219e+00,3.824523e+01,1.706227e+02
rectilinear,0.2007,4.0,4.37001,2.1332,1.1442,7.520808e+00,2.007188e+00,7.520808e+00,3.901986e+01,1.774220e+02
rectilinear,0.2996,0.5,4.33274,2.0815,1.1540,1.008155e+01,2.996250e+00,1.008155e+01,3.590266e+01,4.331693e+01
rectilinear,0.2996,1.0,4.34694,2.0815,1.1502,1.008155e+01,2.996250e+00,1.008155e+01,3.590266e+01,4.331693e+01
rectilinear,0.3063,1.6,4.25399,2.0933,1.1754,1.015050e+01,3.063100e+00,1.015050e+01,3.401868e+01,2.990031e+01
rectilinear,0.2996,2.5,4.24597,2.0815,1.1776,1.008155e+01,2.996250e+00,1.008155e+01,3.590266e+01,4.331693e+01
rectilinear,0.3024,3.3,4.05980,2.0974,1.2316,1.005869e+01,3.019087e+00,1.005869e+01,3.492658e+01,3.830482e+01
rectilinear,0.2996,4.0,4.49872,2.0815,1.1114,1.008155e+01,2.996250e+00,1.008155e+01,3.590266e+01,4.331693e+01
rectilinear,0.3995,0.5,4.36034,2.0680,1.1467,1.160080e+01,3.995469e+00,1.160080e+01,2.325788e+01,-8.933343e+01
rectilinear,0.3995,1.0,4.37277,2.0680,1.1434,1.160080e+01,3.995469e+00,1.160080e+01,2.325788e+01,-8.933343e+01
rectilinear,0.4080,1.6,4.27786,2.0770,1.1688,1.162897e+01,4.079788e+00,1.162897e+01,2.051735e+01,-9.886868e+01
rectilinear,0.3995,2.5,4.25579,2.0680,1.1749,1.160080e+01,3.995469e+00,1.160080e+01,2.325788e+01,-8.933343e+01
rectilinear,0.4024,3.3,4.09564,2.0849,1.2208,1.153438e+01,4.017389e+00,1.153438e+01,2.229237e+01,-9.003514e+01
rectilinear,0.3995,4.0,4.54318,2.0680,1.1006,1.160080e+01,3.995469e+00,1.160080e+01,2.325788e+01,-8.933343e+01
rectilinear,0.4972,0.5,4.33412,2.0804,1.1536,1.201639e+01,4.971577e+00,1.201639e+01,6.033854e+00,-1.496899e+02
rectilinear,0.4973,1.0,4.34287,2.0812,1.1513,1.201185e+01,4.973236e+00,1.201185e+01,5.985077e+00,-1.494291e+02
rectilinear,0.5082,1.6,4.24839,2.0878,1.1769,1.197094e+01,5.081509e+00,1.197094e+01,2.980314e+00,-1.497597e+02
rectilinear,0.5014,2.5,4.23331,2.0778,1.1811,1.203203e+01,5.013906e+00,1.203203e+01,5.322538e+00,-1.515863e+02
rectilinear,0.5018,3.3,4.10519,2.0920,1.2180,1.194987e+01,5.008807e+00,1.194987e+01,5.041680e+00,-1.484790e+02
rectilinear,0.4970,4.0,4.53049,2.0794,1.1036,1.202217e+01,4.969805e+00,1.202217e+01,6.086097e+00,-1.500410e+02
voronoi,0.2000,0.5,0.15851,47.1032,31.5431,3.396794e-01,2.000000e+00,3.396794e-01,3.628944e-02,-2.992311e-02
voronoi,0.2000,1.0,0.23200,29.5938,21.5520,5.406545e-01,2.000000e+00,5.406545e-01,2.318251e-01,9.220993e-02
voronoi,0.2000,1.6,0.32799,20.6704,15.2444,7.740540e-01,2.000000e+00,7.740540e-01,6.469034e-01,6.112550e-01
voronoi,0.2000,2.5,0.31319,19.3134,15.9648,8.284409e-01,2.000000e+00,8.284409e-01,7.927748e-01,1.090916e+00
voronoi,0.2000,3.3,0.56078,11.7415,8.9162,1.362693e+00,2.000000e+00,1.362693e+00,1.543587e+00,1.280033e+00
voronoi,0.2000,4.0,0.47858,12.0994,10.4475,1.322379e+00,2.000000e+00,1.322379e+00,1.751943e+00,3.133658e+00
voronoi,0.3000,0.5,0.22101,35.3467,22.6236,5.941143e-01,3.000000e+00,5.941143e-01,4.575972e-02,-1.523632e-01
voronoi,0.3000,1.0,0.26368,26.6036,18.9622,7.893678e-01,3.000000e+00,7.893678e-01,2.400664e-01,-1.065494e-01
voronoi,0.3000,1.6,0.36380,17.5194,13.7439,1.198669e+00,3.000000e+00,1.198669e+00,7.953823e-01,2.405195e-01
voronoi,0.3000,2.5,0.42656,12.6197,11.7218,1.664066e+00,3.000000e+00,1.664066e+00,1.146681e+00,4.039832e-01
voronoi,0.3000,3.3,0.62220,10.1489,8.0360,2.069180e+00,3.000000e+00,2.069180e+00,3.094328e+00,5.618347e+00
voronoi,0.3000,4.0,0.72485,8.9138,6.8979,2.355890e+00,3.000000e+00,2.355890e+00,2.948295e+00,2.124889e+00
voronoi,0.4000,0.5,0.29266,26.6336,17.0845,9.011168e-01,4.000000e+00,9.011168e-01,-1.257121e-01,-2.686484e-01
voronoi,0.4000,1.0,0.33431,21.1219,14.9562,1.136264e+00,4.000000e+00,1.136264e+00,1.386023e-01,-3.934078e-01
voronoi,0.4000,1.6,0.51085,13.5607,9.7875,1.769826e+00,4.000000e+00,1.769826e+00,8.310507e-01,-1.460694e+00
voronoi,0.4000,2.5,0.73592,9.6664,6.7942,2.482821e+00,4.000000e+00,2.482821e+00,1.756333e+00,-1.061398e+00
voronoi,0.4000,3.3,0.89109,7.5230,5.6111,3.190211e+00,4.000000e+00,3.190211e+00,2.693995e+00,-2.700378e+00
voronoi,0.4000,4.0,0.67162,8.8636,7.4447,2.707702e+00,4.000000e+00,2.707702e+00,2.753917e+00,-1.007756e-02
voronoi,0.5000,0.5,0.39875,20.7852,12.5391,1.202776e+00,5.000000e+00,1.202776e+00,-2.906275e-01,-6.350023e-01
voronoi,0.5000,1.0,0.45497,15.5011,10.9896,1.612793e+00,5.000000e+00,1.612793e+00,1.472290e-01,-1.094224e+00
voronoi,0.5000,1.6,0.62785,10.7924,7.9637,2.316452e+00,5.000000e+00,2.316452e+00,4.035424e-01,-3.345047e+00
voronoi,0.5000,2.5,0.74894,8.9767,6.6761,2.784998e+00,5.000000e+00,2.784998e+00,1.430953e+00,-3.539272e+00
voronoi,0.5000,3.3,0.65685,8.3003,7.6121,3.011953e+00,5.000000e+00,3.011953e+00,1.581143e+00,-3.434490e+00
voronoi,0.5000,4.0,1.00856,6.3050,4.9575,3.965110e+00,5.000000e+00,3.965110e+00,2.746705e+00,-7.551441e+00
